1|임무용 아이템
abe|산성 안개
abf|산성 안개
ac0|산성 안개
ac1|산성 안개
ac2|마구 때리기
ac3|피의 애무
ac4|금빛 먼지
ac5|잎사귀 폭풍
ac6|점액 배출
ac7|소음 공해
ac8|채찍질
ac9|대기 작렬
aca|광풍
acb|괴음파
acc|역병 창궐
acd|부식성 돌풍
ace|10톤즈 후려치기
acf|10톤즈 휘두르기
ad0|100톤즈 후려치기
ad1|100톤즈 휘두르기
ad2|노려보기
ad3|아이 오브 비홀더
ad4|1000톤즈 휘두르기
ad5|포식자의 본능
ad8|분리
ad9|하얀 숨결
ada|화염 구체
adb|빙결 구체
adc|삼두정치
add|비열한 채찍
ade|공포의 안개
adf|돌머리
ae0|바위 우레
ae1|진정한 투지
ae2|대지 균열
ae3|완전 파괴
ae4|낙석
ae5|심핵의 빛
ae6|자력
ae7|모래 숨결
ae8|모래폭풍
ae9|독 숨결
aea|지진
aeb|모래 태풍
aec|모래늪
aed|모래기둥
aee|두들겨 부수기
aef|빨아들이기
af0|곰팡이 재채기
af1|역겨운 재채기
af2|곰팡이 가래침
af3|구부의 비탄
af4|소화 효소
af5|찐득한 혀
af6|피부 강화
af7|죽음의 핥기
af8|핥기
af9|힘겨운 뜀뛰기
afa|독액 분사
afb|화염구
afc|화염의 숨결
afd|꼬리 매타작
afe|치명적 구속
aff|야성의 돌진
b00|압사 발구르기
b01|고막 파열
b02|지진 균열
b03|불러들이기
b04|낭랑한 울음소리
b06|급속 돌진
b07|마수의 눈동자
b08|석화
b09|뿔소 돌진
b0a|백안시
b0b|마안
b0c|마수의 포효
b0d|살육
b0e|삼단베기
b0f|끔찍한 포효
b10|죽음의 광선
b11|타액 발사
b12|용의 숨결
b13|화강암 세례
b14|유독성 토사물
b15|사악한 눈길
b17|웅장한 검격
b18|웅장한 타격
b19|자가진단 시스템
b1a|마도 레이저
b1b|과열
b1c|고갈
b1d|플라스마 필드
b1e|플라스마 필드
b1f|섬뜩한 불꽃
b20|보이드 파이라
b21|보이드 파이가
b22|보이드 선더
b23|보이드 선더라
b24|보이드 선더가
b25|보이드 블리자드
b26|보이드 블리자라
b27|보이드 블리자가
b28|자동반격 시스템
b2e|보이드 블리자가
b30|자동포탑 룩
b31|자동포탑 비숍
b32|분열탄
b33|재장전
b34|슬러그탄
b35|산탄 사격
b36|확산 사격
b37|유탄 발사
b38|강렬한 사격
b39|정밀탄
b3a|가우스탄
b3b|심장 관통
b3c|정비
b3d|다리 쏘기
b3e|소이탄
b3f|신속 장전
b40|가우스 총열
b41|속사
b42|정신 파괴
b43|제압 사격
b44|발 쏘기
b45|과충전
b46|머리 쏘기
b47|무기 파괴
b48|공포탄
b49|체제 전환
b4a|도탄 사격
b4b|집중 사격
b4c|에테르 박격포
b4d|굳히기
b4e|언약의 반지
b4f|썩은 붕대
b51|모래 폭발
b52|사막 폭풍
b53|흙은 흙으로
b54|쇠꼬챙이
b55|파직파직 번개
b56|찢어가르기
b57|가시 매타작
b58|불안정한 블래스터
b59|불안정한 블래스터
b5a|감전
b5b|야성의 돌진
b5c|전하 충격
b5d|전하 충전
b5e|전하 폭발
b5f|뜨거운 번개
b60|뜨거운 번개
b61|휘몰아치는 혼돈
b62|휘몰아치는 혼돈
b63|전하 폭발
b64|파직파직 번개
b65|가시 매타작
b66|불안정한 블래스터
b67|불안정한 블래스터
b68|정전기 방출
b69|전하 폭발
b6a|(仮)ティアマット：メカハイドラ：オートアタック：バハムートダンジョン3
b6b|공명
b6c|신경 가스
b6d|신경 가스
b6e|신경 가스
b6f|압력 필드
b70|압력 필드
b71|가운뎃머리
b72|옆 머리
b73|옆 머리
b74|(仮)ティアマット：メカハイドラ：3連メテオ発射/A：バハムートダンジョン3
b75|(仮)ティアマット：メカハイドラ：3連メテオ発射/B：バハムートダンジョン3
b76|강의 원천
b77|바다의 원천
b78|비상 모드
b79|신경 구름
b7a|신경 구름
b7b|마과학 입자 살포
b7c|입자 붕괴
b7d|자동 대포
b7e|자폭
b7f|진공파
b80|(仮)ダラガブ球：AA：バハムートダンジョン3/ボス2用
b81|해체 흡수
b82|물체 199
b83|격퇴포
b84|중력장
b85|갈래 번개
b86|갈래 번개
b87|계시
b88|연옥의 불꽃
b89|유폭
b8a|연소
b8b|연옥의 폭염
b8c|칠흑의 불꽃
b8d|칠흑의 대화염
b8e|칠흑의 열파
b8f|백열의 불꽃
b90|백열의 불꽃
b91|청벽의 불꽃
b92|청벽의 불꽃
b93|홍련의 불꽃
b94|홍련의 화염
b95|홍련의 대화염
b96|(仮)フェニックス：原種：飛び上がる：バハムートダンジョン3
b97|(仮)フェニックス：原種：着地：バハムートダンジョン3
b98|윤회의 불꽃
b99|윤회의 불꽃
b9a|윤회의 불꽃
b9b|윤회의 불꽃
b9c|영검의 불꽃
b9d|영검의 숨결
b9e|영검의 파동
b9f|소환
ba0|타오르는 날개
ba1|타오르는 날개
ba2|작열 불기둥
ba3|작열 불기둥
ba4|원기 회복
ba5|(仮)ワイバーン：ズー：火の鳥：ポップ時アクション：バハムートダンジョン3
ba6|날카로운 섬격
ba7|날카로운 섬격
ba8|날카로운 섬격
ba9|질색
baa|질색
bab|질색
bac|(仮)バハムート：霊体：オートアタック：バハムートダンジョン3
bad|타오르는 숨결
bae|짓뭉개기
baf|메가플레어
bb0|메가플레어
bb1|메가플레어
bb2|메가플레어
bb3|메가플레어
bb4|메가플레어 스트라이크
bb5|요동치는 대지
bb6|요동치는 대지
bb7|요동치는 대지
bb8|요동치는 대지
bb9|기가플레어
bba|기가플레어
bbb|타오르는 별
bbc|타오르는 별
bbd|용신의 포효
bbe|(仮)バハムート：霊体：上空へ飛び立つ：バハムートダンジョン3
bbf|(仮)バハムート：霊体：上空から地上に着地する：バハムートダンジョン3
bc0|메가플레어 다이브
bc1|테라플레어
bc2|아크 몬
bc3|아크 몬
bc4|폭풍우 날개
bc5|치명상
bc6|작열지옥
bc7|용기
bc8|이중 강하
bc9|곤두박질
bca|사형 선고
bcb|화염구
bcc|발톱 난도질
bcd|꼬리 매타작
bce|포식
bcf|핏빛 발톱
bd0|뒤집기
bd1|대재앙
bd2|사악한 눈길
bd3|석화 안개
bd4|불길한 포효
bd5|사격
bd6|원심 타격
bd7|(仮)ダラガブ球：AA：バハムートダンジョン3：2層Trash
bd8|함몰
bd9|바다의 은혜
bda|폭사
bdb|강철 발톱
bdc|매질
bdd|얼어붙은 활
bde|공격
bdf|빙설난무
be0|눈사태
be1|얼음의 낙인
be2|우박 폭풍
be3|영구동토
be4|공격
be5|공격
be6|절대영도
be7|공격
be8|천상의 일격
be9|빙하 강타
bea|빙결의 환상
beb|고드름 낙하
bec|폭설
bed|아제마의 심판
bee|꼬챙이
bef|표식
bf0|끌어당기기
bf1|기절 발톱
bf2|분사
bf3|물덩어리
bf4|꼬리 후려치기
bf5|야생 본능
bf6|농락
bf7|성큼걸음
bf8|해적의 징벌
bf9|겨냥
bfa|연사
bfb|해적의 처형
bfc|돌격
bfd|먹물 쏘기
bfe|먹물 뿌리기
bff|매질
c00|잡아채기
c01|포획
c02|내던지기
c03|물대포
c04|매질
c05|휩쓸기
c06|자폭
c07|눈바람
c08|눈바람
c09|오라 발사
c0a|툰드라
c0b|냉기 충격
c0c|얼음 단두대
c0d|빙쇄
c0e|강철 발톱
c0f|서리 안개
c10|쥐어박기
c11|거친 눈보라
c12|거대 눈덩이
c13|연속 타격
c14|팔꿈치 찍기
c15|블리자드
c17|고드름 낙하
c18|고드름 격돌
c19|산산조각
c1a|강력 공격
c1b|천년의 눈보라
c1c|천상의 포효
c1d|천년의 눈보라
c1e|달 삼키기
c1f|달을 향한 포효
c20|바늘 5,000개
c21|바늘 10만 개
c22|바늘 3,000개
c23|사보텐 박치기
c24|진노의 일격
c25|격노의 연격
c26|원한의 참격
c27|냉기 충격
c28|선인장 방패
c29|도깨비불
c2a|혼돈의 눈
c2b|질타
c2c|저주의 속삭임
c2d|거친 콧김
c2e|콧김
c2f|콧김 대회전
c30|콧김 대회전
c31|콧김 대회전
c32|흠하!
c33|흠하!
c34|人型：拘束：事件屋ヒルディ
c35|흥흥!
c36|흥흥!!
c37|화염구
c38|자근자근
c39|최고의 친구
c3a|4톤즈
c3b|4톤즈
c3c|물요정의 노래
c3d|물의 숨결
c3e|1만 볼트
c3f|문어발
c40|매질
c41|휩쓸기
c42|최고의 친구
c43|물요정 주먹
c45|산게탈
c46|산게탈
c47|슬픔의 방
c48|에인헤랴르
c49|발크누트
c4a|암흑강철 고삐
c4b|석화의 방
c4c|석화의 방
c4d|둔화의 방
c4e|둔화의 방
c4f|투창 궁니르
c50|가근라드
c51|투창 궁니르
c52|참철검
c53|진 참철검
c54|쇄빙
c55|백도난무
c56|단검 던지기
c57|콧김
c58|고드름 낙하
c59|원한의 사슬
c5a|공격
c5b|일대일 결투
c5c|(仮)人型：真デュラハン：オートアタック：古城アムダハード
c5d|게이르뢰드
c5e|슬픔의 방
c5f|발푀드르
c60|위그
c61|어둠의 일격
c62|어둠의 충격
c63|투명화
c64|난타
c65|공허한 눈동자
c66|도플갱어
c67|환상의 빛
c68|환상의 빛
c69|시체 경련
c6a|교묘한 술책
c6b|자포자기
c6c|(仮)バハムート・ネール：ピエロ：オートアタック：古城アムダハード
c6d|어둠의 곡예
c6e|암전
c6f|비장의 패
c70|검은 바람
c71|교묘한 술책
c72|광대의 낫질
c73|죽음의 낫
c74|심연의 돌격
c75|벌레 떼
c76|점액 배출
c77|나뭇가지 폭풍
c78|도토리 폭탄
c79|매질
c7a|독성 꽃꿀
c7b|압살
c7c|마름쇠
c7d|일사바드 리제네
c7e|무기 용해
c7f|무기 용해
c80|산산조각
c81|폭발
c82|동방의 물약
c83|뇌둔술
c84|뇌둔술
c85|화둔술
c86|분신술
c87|속박술
c88|소생
c89|폭풍우 날개
c8a|透明：シヴァ：凍結レクト：ノックバック用/ヒロイック
c8b|파괴의 뿔
c8c|화염 투창
c8d|폭염 투창
c8e|작열하는 기억
c8f|두들겨 패기
c90|폭염 투창
c91|불 뱉기
c92|대규모 폭발
c93|두꺼비
c94|주술도구 설치
c95|주술도구 제거
c96|분노의 저주
c97|업화의 저주
c98|두꺼비의 저주
c99|권태의 저주
c9a|급속 참격
c9b|칼날 바퀴
c9c|부패 가스
c9d|폭군의 나팔
c9e|영혼 분리
c9f|큰 주술도구 설치
ca0|열광의 저주
ca1|대규모 폭발
ca2|은신술
ca3|울부짖는 달
ca4|빗발치는 화살
ca6|열광의 저주
ca7|거대 눈덩이
ca9|침 흘리기
caa|포식
cab|삼키기
cac|토해내기
cad|포식자의 발톱
cae|꼬리 강타
caf|지옥의 돌진
cb0|미니멈 거품
cb1|미니멈
cb2|유황 숨결
cb3|유황 숨결
cb4|번개 발생
cb5|번개 발생
cb6|신음
cb7|삼단베기
cb8|치명적 일격
cb9|대폭발
cba|팔꿈치 찍기
cbb|연속 타격
cbc|10톤즈 후려치기
cbd|10톤즈 휘두르기
cc2|낯선 조류
cc3|세상의 끝에서
cc4|흡혈
cc8|두 개의 시선
cc9|비탄의 시선
cca|분노의 시선
ccb|레벨 100 플레어
ccc|레벨 100 플레어
ccd|레벨 150 데스
cce|레벨 150 데스
ccf|데스
cd0|괴이한 광선
cd1|죽음의 시선
cd2|포효 오중주
cd3|페르마타
cd4|빛 숨결
cd5|불 숨결
cd6|얼음 숨결
cd7|번개 숨결
cd8|독 숨결
cd9|빛구슬 폭발
cda|화염구
cdb|독액 분사
cdd|공격
cde|열기 파동
cdf|하얀 숨결
ce0|공격
ce1|0식 파동포
ce2|위장형 파동포
ce3|위장형 파동포
ce4|파동 폭발
ce5|파동 폭발
ce6|파동 방사
ce7|역한 입냄새
ce8|어둠의 번개
ce9|범람하는 어둠
cea|공격
ceb|저압 전류
cec|물체 130
ced|자동 대포
cee|자폭
cef|고출력 광선
cf0|격퇴포
cf1|그물
cf2|그물
cf3|에어로라
cf4|에어로라
cf5|진공 칼날
cf6|돌풍
cf7|난기류
cf8|미사일
cf9|괴음파
cfa|하얀 바람
cfb|닭의 노래
cfc|으름장
cfd|마사무네
cfe|전류
cff|방전
d00|운증용변
d01|용의 불꽃
d02|용의 기운
d03|용의 비행
d04|화룡점정
d05|칼춤
d06|칼춤
d07|사슬 묶기
d08|자기류 설월화
d09|설풍
d0a|월광
d0b|화차
d0c|골수 흡입
d0d|골수 흡입
d0e|골수 흡입
d0f|빙결의 포효
d10|뇌전의 포효
d11|비열한 채찍
d12|양두정치
d13|화염 구체
d14|빙결 구체
d15|선풍참
d16|끝장타
d17|프라다만테
d18|기가 점프
d19|작은 멜로디
d1a|공격
d1b|공격
d1c|총력 공격
d1e|아이즈 온 미
d1f|이지스의 은혜
d20|원초적 파괴
d21|코메테오
d22|천상의 단비
d23|テュポーン：自分中心円：ゴールドソーサー
d24|テュポーン：ステージ外周：ゴールドソーサー
d25|テュポーン：扇：ゴールドソーサー
d26|テュポーン：直線：ゴールドソーサー
d27|テュポーン：GT：ゴールドソーサー
d28|透明：テュポーン：GT：ゴールドソーサー
d29|대지 황폐화
d2a|몸통 박기
d2b|가로베기
d2c|지진 충격
d2d|타오르는 비명
d2e|짓밟기
d2f|대폭발
d31|포격
d32|뇌격탄
d33|점착탄
d34|대 드래곤 쇠뇌
d35|선풍참
d36|끝장타
d37|프라다만테
d38|화염방사
d39|육중한 휘두르기
d3a|XLI식 연장포
d3b|흡인
d3c|XLIII식 소형 박격포
d3d|화염방사
d3e|화염방사
d3f|융단폭격
d40|융단폭격
d41|급습
d42|마도 소이탄
d43|멸시
d44|멸시
d45|훈계
d46|훈계
d47|훈계
d48|외부 소요
d49|힐난
d4a|경시
d4b|혐오
d4c|혐오
d4d|혐오
d4e|혐오
d4f|내부 소요
d50|유폭
d51|대유폭
d53|소이탄 연소
d54|에인션트 퀘이가
d55|에인션트 퀘이크
d56|블랙홀
d57|화이트홀
d58|충격파
d5a|달부메랑
d5b|에테르 분배
d5c|다쟈
d5d|어둠의 에테르 폭발: 이스틴
d5e|어둠의 에테르 폭발: 시나
d5f|어둠의 에테르 폭발: 살라스
d60|다라
d61|시간 연장
d62|독안개
d63|흡인
d64|대흡인
d65|혜성
d66|메테오
d67|다크 파이어
d68|스파크
d69|스파크
d6a|메기도 플레임
d6b|메기도 플레임
d6c|アシエン・ナブリアレス：ダテレポ：ナブリアレス戦
d6d|퀘이가
d6f|요마 소환
d70|부패 가스
d71|번개 숨결
d72|하얀 바람
d73|이중 공격
d74|삼중 공격
d75|화강암 세례
d76|서리 숨결
d77|얼음판
d78|분노의 서릿발
d79|플라스마 방출
d7a|번개 그물
d7b|붕괴
d7c|독가시 꼬리
d7d|할퀴기
d7e|화염 숨결
d7f|징벌
d80|세게 짓밟기
d81|초경화
d82|거북 발구르기
d83|화염 태풍
d84|타액 발사
d85|용의 숨결
d86|유독성 토사물
d87|몸통 박치기
d88|전기 파동
d89|불쾌한 비명
d8a|벼락 세례
d8b|대방전
d8c|발톱 난도질
d8d|화염구
d8e|화염의 숨결
d8f|꼬리 매타작
d90|야성의 돌진
d91|대흥분
d92|뼈대 흔들기
d93|파괴의 뿔
d94|끝장타
d95|기가 점프
d96|웅장한 검격
d97|마도 레이저
d98|고갈
d99|웅장한 타격
d9a|융단폭격
d9b|설풍
d9c|월광
d9d|화차
d9e|마도 필드
d9f|포탑 회수
da9|파이어
daa|얼음판
dab|죽음의 시선
dac|융단폭격
dad|액체 뿌리기
dae|대흡인
daf|작열지옥
db0|알 사냥
db1|폭발
db2|저압 전류
db3|재기
db4|공격
db5|공격
db6|시큼한 바람
db7|설풍
db8|월광
db9|화차
dba|무게추 깔기
dbb|힘겨운 뜀뛰기
dbc|돌머리
dbd|겨울의 명언
dbe|폭로
dbf|날림 읽기
dc0|액화
dc1|액화
dc2|블리자드
dc3|다크 블리자가
dc4|요마 소환
dc5|금서 봉인
dc6|보이드의 불똥
dc7|쥐어박기
dc8|보이드의 짙은 어둠
dc9|마법 작렬
dca|심연의 돌격
dcb|심연의 돌격
dcc|심연의 공격
dcd|심연의 관통
dce|보이드 선더가
dcf|보이드 블리자가
dd0|병폐
dd1|보이드 블리자드
dd2|꿰뚫는 검격
dd3|제왕의 권위
dd4|신성한 보호막
dd5|관용
dd6|방벽
dd7|투혼선풍각
dd8|기공술
dd9|창기포
dda|투기
ddb|음양투기참
ddc|파괴 태세
ddd|참수
dde|섬멸
ddf|원초적 직감
de0|평정심
de1|푸른 용혈
de2|용의 발톱
de3|게이르스코굴
de4|용의 꼬리
de5|전투 기도
de6|천상의 화살
de7|여행신의 무곡
de8|굳은 결의
de9|시간신의 찬미가
dea|독사 강습
deb|갑각파황격
dec|그림자 이동
ded|연막탄
dee|몽환삼단
def|일쌍
df0|스톤가
df1|성소
df2|신의 이름
df3|심판
df4|에어로가
df5|흑마법 문양
df6|마력 각성
df7|천사의 언어
df8|블리자쟈
df9|파이쟈
dfa|고통의 불길
dfb|루인가
dfc|트라이디재스터
dfd|바하무트 빙의
dfe|데스플레어
dff|불요불굴책
e00|기염법
e01|전개전술
e02|응급전술
e03|에테르 전환
e04|충전 포격
e05|충전 박격포
e06|점지
e07|왕도
e08|보류
e09|위상 변화
e0a|베네피크
e0b|별읽기: 베네피크
e0c|말레피크
e0d|스텔라
e0e|말레피라
e0f|컴버스
e10|헬리오스
e11|별읽기: 헬리오스
e12|행복한 상실
e13|생환
e14|낮별읽기
e15|밤별읽기
e16|광속 시전
e17|빛의 에테르
e18|컴버라
e19|행동 방해
e1a|베네피라
e1b|시간 지연
e1c|궁합
e1d|운명의 수레바퀴
e1e|본질적 위계
e1f|그라비데
e20|천궁의 반목
e21|강렬한 참격
e22|그림자 비호
e23|회전 참격
e24|재앙
e25|촉발
e26|비열한 기습
e27|흡수의 일격
e28|살의
e29|피의 칼날
e2a|앙갚음
e2b|대참격
e2c|암흑
e2d|불굴의 투지
e2e|어둠의 춤
e2f|피의 대가
e30|흡혼검
e31|어둠의 여행자
e32|어두운 감정
e33|어둠의 기교
e34|그림자 장벽
e35|열광검
e36|산송장
e37|감염 지대
e38|돌진
e39|심연의 갈증
e3a|최후의 생존자
e3b|난도질
e3c|냉병기 공격
e3d|증기압 상승
e3e|냉병기 공격
e3f|공격
e40|과열 분사
e41|기관총 발사
e42|광자포
e43|증기 미사일
e44|증기 미사일
e45|긴급 출격
e46|점착탄
e47|점착탄
e48|구원 요청
e49|자폭
e4a|초플라스마
e4b|초대형 미사일
e4c|초대형 미사일
e4d|대폭발
e4e|소폭발
e4f|긴급 상승
e50|열증기
e51|경착륙
e52|점착탄
e53|미세포
e54|입자 충돌
e55|신속 시전
e56|코 회초리
e57|락 오브 에이지
e58|부드러운 영감
e59|엄니 박치기
e5a|맹진
e5b|일어서기
e5c|역사의 포효
e5d|해골 질주자
e5e|봉분
e5f|무기력한 흐느낌
e60|죽음의 소용돌이
e61|과부 양산자
e62|반전
e63|죽은 생명체
e64|일그러진 미소
e65|강철 폭풍
e66|블리자드
e67|검은 폭발
e68|검은 폭발
e69|죽음의 바람
e6a|부활의 뼈
e6b|뇌수 흡입
e6c|황금 발톱
e6d|자유낙하
e6e|고산 기류
e6f|감금의 소용돌이
e70|겨울 바람
e71|회오리바람
e72|수감
e73|바람개비
e74|파편 낙하
e75|파쇄
e76|초강타
e77|느린 공
e78|싸늘한 폭풍
e79|흡혈 물어뜯기
e7a|폭발
e7b|마나 축전
e7c|근력 활성
e7d|냉병기 공격
e7e|증기압 상승
e7f|공격
e80|무도의 화신
e81|광염의 화신
e82|갑각의 화신
e83|무신섬
e84|전후방 방어
e85|측면 방어
e86|반의
e87|맹염: 발단
e88|맹염: 발단
e89|맹염: 발단
e8a|맹염: 발단
e8b|맹염: 전개
e8c|맹염: 전개
e8d|맹염: 전개
e8e|맹염: 전개
e8f|귀무신
e90|귀무신
e91|불멸혼
e92|월검초래
e93|신통력
e96|달빛
e97|찬드라하스
e98|투기탄
e99|투기탄쇄
e9a|충천격
e9b|관통산탄
e9c|투기포
e9d|맹염: 절정
e9e|맹염: 절정
e9f|무신섬
ea0|좌익 방어
ea1|우익 방어
ea2|양익 방어
ea3|반의
ea4|귀무신
ea5|귀무신
ea6|불멸혼
ea7|광염: 절정
ea8|광염: 절정
ea9|광염: 절정
eaa|광염: 절정
eab|광염: 절정
eac|광염: 파멸
ead|광염: 파멸
eae|광염: 파멸
eaf|광염: 파멸
eb1|무신갑
eb2|무신염
eb3|신통력
eb4|달빛
eb5|찬드라하스
eb6|투기탄
eb7|투기탄쇄
eb8|충천격
eb9|월기탄
eba|관통산탄
ebb|투기포
ebc|광염: 발단
ebd|광염: 발단
ebe|광염: 발단
ebf|광염: 발단
ec0|광염: 전개
ec1|광염: 전개
ec2|광염: 전개
ec3|보이드의 불똥
ec4|보이드의 불똥
ec5|혼돈 폭풍
ec6|사역마 소환
ec7|이중고
ec8|죽음의 덫
ec9|먹물 뿌리기
eca|돌격
ecb|레벨 5 데스
ecc|죽음의 광선
ecd|공포의 눈
ece|윤회 의식
ecf|다크 파이가
ed0|윤회 의식
ed1|피의 애무
ed2|산성비
ed3|광합성
ed4|빠른 포복
ed5|태양 광선
ed6|잎사귀 폭풍
ed7|산성비
ed9|산성 분무
eda|산성 구름
edb|피개 교합
edc|날카로운 비늘
edd|올가미
ede|광분 질주
edf|광분 질주
ee0|광분 질주
ee1|광분 질주
ee2|태고의 포효
ee3|심연의 파괴자
ee4|어둠의 별
ee5|혼돈 폭풍
ee6|혜성
ee7|천지 붕괴
ee8|혜성
ee9|천지 붕괴
eea|천지 붕괴
eeb|혼돈 폭풍
eec|소화
eed|일제 사격
eee|자폭
eef|뜨거운 바람
ef0|보이드 블리자가
ef1|파멸의 종착역
ef2|공격
ef3|유체 타격
ef4|물장구
ef5|변화의 물결
ef6|변화의 물결
ef7|변화의 물결
ef8|변화의 물결
ef9|봇물
efa|봇물
efb|봇물
efc|유체 타격
efd|밸브 개방
efe|폭포수
eff|폭포수
f00|지목
f01|자석
f02|액체 감옥
f03|공격
f04|공격
f05|유체 강타
f06|유체 강타
f07|싹쓸이
f08|지목
f09|수량 균등화
f0a|고통의 손길
f0b|기도의 손길
f0c|작별의 손길
f0d|액체 발톱
f0e|놓기
f0f|오수
f10|하수로
f11|극심한 오수
f12|자석
f13|자력
f14|강자력
f15|반발
f17|오수
f18|하수로
f19|변화의 물결
f1a|액체 감옥
f1b|수압 충전
f1c|분출
f1d|윤활유 폭발
f1e|윤활유 폭발
f1f|누전
f20|누전
f21|미끌미끌
f29|액상 변이
f2a|은폐
f2b|털깃
f2c|깃털 폭풍
f2d|깃털 폭풍
f2e|횡이동
f2f|번개 방전
f30|번개 축전
f31|번개 방사
f32|감전
f33|감전
f34|피뢰침
f35|낙뢰
f36|역류
f37|가시 꼬리
f38|유혹의 사과
f39|몸통 박기
f3a|원죄
f3b|타락
f3c|독기
f3d|자폭
f3e|태풍 가르기
f3f|진홍빛 숨결
f40|진홍빛 구슬
f41|진홍빛 구슬
f42|진홍빛 열선
f43|용의 포효
f44|칠흑빛 구슬
f45|칠흑빛 불꽃
f46|살육의 지옥불
f47|살육의 지옥불
f48|비상
f49|강하
f4a|개인용 보호막
f4b|작열지옥
f4c|화염구
f4d|통구이
f4e|화염구
f4f|착지
f50|분노의 서릿발
f51|서리 숨결
f52|대유폭
f53|냉풍
f54|파멸의 종착역
f55|흡혈 칼날
f56|행간에 숨은 마귀
f57|독성 꽃가루
f58|화염구
f59|얼음구
f5a|용의 피
f5b|증기 미사일
f5c|필멸의 격변
f5d|영원한 빛줄기
f5e|대학살의 근원
f5f|영원한 빛줄기
f60|증기 미사일
f61|원반
f62|긴급 격리
f63|대학살
f64|임시처분
f65|임시처분
f66|증기 심판
f67|마과학 레이저
f68|폭산
f69|대전차 화기
f6a|연화 증기
f6b|냉병기 공격
f6c|휘몰아치는 바람
f6d|오염 증기
f6e|복잡성 환원
f6f|광선 흡수
f70|방산 레이저
f71|단죄
f72|징벌
f73|단죄
f74|징벌
f75|오염 증기
f76|사형 판결
f77|작렬
f78|공격
f79|겨울의 명언
f7a|마구 베기
f7b|다중 베기
f7c|다중 베기
f7d|다중 베기
f7e|칼바람
f7f|한계 가동
f80|검압
f81|11톤즈 후려치기
f82|111톤즈 휘두르기
f83|10톤즈 베기
f84|우렁찬 외침
f85|우렁찬 외침
f86|확대
f87|1111톤즈 휘두르기
f88|사육제
f89|축성의 빛
f8a|부정함
f8b|마과학 폭탄
f8c|폭발
f8d|교육자
f8e|고문
f8f|마과학 지뢰
f90|지뢰 폭발
f91|강의 원천
f92|조교 장치 기동
f94|자동 대포
f97|형벌의 사슬
f98|번개 찌르기
f99|번개 발생
f9a|용의 피
f9b|발톱 난도질
f9c|화염구
f9d|화염의 숨결
f9e|꼬리 매타작
f9f|야성의 돌진
fa0|제국의 손
fa1|순수
fa2|표식
fa3|꼬리 후려치기
fa4|야생 본능
fa5|말살 명령
fa7|마도 소이탄
fa8|불사르기
fa9|혼돈 폭풍
faa|흰고래의 분노
fab|고래수염 폭탄
fac|비바람
fad|필멸의 격변
fae|태고의 눈물
faf|날카로운 돌풍
fb0|낙뢰
fb1|마법 거품
fb2|몸서리
fb3|흰고래의 포효
fb4|거품 공격
fb5|기후 조작
fb6|폭발
fb7|영혼의 광선
fb8|물대포
fb9|죽음의 꽃
fba|티끌점괘 곶
fbb|무너지는 하늘
fbc|울부짖는 날개
fbd|강풍
fbe|굉풍
fbf|마른 물갈퀴
fc0|죽음의 바람
fc1|젖은 물갈퀴
fc2|죽음의 물
fc3|고래수염 폭탄
fc4|진공파
fc5|구름신 기류
fc6|강제 배제
fca|구속탄
fcb|육체 타격
fcc|정신 타격
fcd|강철의 의지
fce|저격
fcf|고블린 돌진
fd0|고블린 폭발
fd1|기관포
fd2|중압탄
fd3|강산탄
fd4|냉병기 공격
fd5|증기압 상승
fd6|벼락
fd7|기관포
fd8|우레 포격
fd9|돌격 명령
fda|융단폭격
fdb|결정타
fdc|폭발
fdd|대폭발
fde|중압탄
fdf|전압탄
fe0|강산탄
fe1|전자석
fe2|자폭
fe3|충전
fe4|FF11 대왕게: 탈것 고블린 게전차: 자폭
fe5|비바람
fe6|번개 머리
fe7|낙뢰
fe8|맑은 시야
fe9|막대한 수익
fea|소장품 채집
feb|신중한 선별
fec|대담한 선별
fed|직감적 선별
fee|심미안
fef|고도의 주의력
ff0|심호흡
ff1|산길잡이의 눈
ff2|뒤훑기
ff3|뒤훑기 2
ff4|전력 집중
ff5|극한 채집
ff6|식물 전문가
ff7|막대한 수확
ff8|소장품 채집
ff9|신중한 선별
ffa|대담한 선별
ffb|직감적 선별
ffc|심미안
ffd|고도의 주의력
ffe|심호흡
fff|개척자의 눈
1000|가지치기
1001|가지치기 2
1002|전력 집중
1003|극한 채집
1004|갈고리 낚시
1005|소장품 채집
1006|인내
1007|강력한 낚아채기
1008|밑밥
1009|물고기의 눈
100a|인내 2
100c|우상 소환
100d|우상 소환
100e|우상 재생
100f|새인간 공격
1010|구름의 향방
1011|질풍
1012|깊은 우울
1013|진공파
1014|터빈
1015|지느러미줄
1016|물 쏘기
1017|범람
101a|재림
101d|천상의 참격
101e|지고한 신성
101f|성스러운 방패 강타
1020|불변의 승천
1021|불변의 승천
1022|찬란한 칼날
1023|집행
1024|눈부신 불길
1025|천상의 징벌
1026|고차원
1027|굳건한 신앙
1028|차원 파괴
1029|차원 파괴
102a|차원 파괴
102b|차원 파괴
102c|차원 찢기
102d|항성 폭발
102e|차원파
102f|파이어
1030|제단의 초
1031|천상의 불꽃
1032|천상의 불꽃
1033|거룩한 사슬
1034|거룩한 사슬
1035|제단의 장작
1037|정결한 마음
1038|백기사 행진
1039|흑기사 행진
103a|백색 돌격
103b|흑색 돌격
103c|성화 연소
